dipole_index,R,X,optim_time_s
0,0.0,-42.91967913337455,25.161212921142578
1,79.02277881066094,-42.23595285259365,25.161212921142578
2,0.0,-177.49482916424046,25.161212921142578
3,0.0,28.296135961086048,25.161212921142578
4,0.0,-400.0,25.161212921142578
