"# Scenario: sphere_5ant_2.0lambda, rayon=1.73, antennes=5"
# Simulation time (s): 0.0080
Re(Z_ij),Im(Z_ij)
76.9904528754287,42.92740457445212
-0.18603414987924374,0.2909230859383078
-0.12881731826278775,0.034184149111348865
-0.0812975617728471,0.29245876017114947
0.2877926788871574,0.06640814571141627
-0.186034149799592,0.290923085925819
76.9904528754287,42.92740457445212
0.3676503675176539,-0.48152057467294546
-0.9583278387134536,0.11908223411056357
0.06927287943348115,-0.5476624105741242
-0.12798512930411293,0.031305228892249855
0.3704363495503454,-0.47829532282737974
76.9904528754286,42.92740457445518
-1.6654954235294097,-1.0234458073101826
0.07905806701207828,-0.00827067261473294
-0.08150021591868274,0.2922514152825433
-0.9528619339575873,0.107199375116676
-1.6918333761793438,-1.0029170399842242
76.99045287542877,42.927404574456475
0.14447843830368293,0.0077165397702195415
0.2865954366055344,0.06767965247944988
0.07047672924264586,-0.5469642375805713
0.07861147070741446,-0.007569953284725118
0.14595254622817708,0.00609336366684637
76.99045287542872,42.927404574457924
