Antenna_index,Type,Voc_Re,Voc_Im,Vin_Re,Vin_Im,Vl_Re,Vl_Im,vin_Oc_Re,vin_Oc_Im,vbis_Re,vbis_Im,I_Re,I_Im,Zin_Re,Zin_Im,P_V_oc(uW),P_Vin_oc(uW),P_L(uW),P_in(uW)
0,emitter,12.4,0.0,12.39999683653456,3.1339911328817736e-06,0.0,0.0,3.163465439826041e-06,-3.1339911328817736e-06,12.4,0.0,0.12286065979675176,-0.0685038470129209,76.99154173723004,42.92846822711508,761736.0907398609,-0.30167795014401627,0.0,761735.7890619107
1,receiver,0.0,0.0,0.0016325996539462407,-0.04944747708853247,0.0,-0.0,-0.0016325996539462407,0.04944747708853247,0.0,0.0,-0.00025703517412425724,-0.0004989097781439063,76.9901092564457,42.93715363170017,-0.0,12.125097143844174,0.0,12.125097143844174
2,reflector,0.0,0.0,0.013639289133408566,-0.013899872802511173,0.0,0.0,-0.013639289133408566,0.013899872802511173,0.0,0.0,5.8382235974860885e-05,-0.00021317005565171668,76.95664441670814,42.90653361831683,0.0,1.8796644277895522,0.0,1.8796644277895522
3,reflector,0.0,0.0,-0.010788859825424938,-0.042506946586376,0.0,-0.0,0.010788859825424938,0.042506946586376,0.0,0.0,-0.00034193644980127906,-0.00036173247028655316,76.94707492394708,42.91057914808253,-0.0,9.532623609568905,0.0,9.532623609568905
4,reflector,0.0,0.0,-0.039711330001756195,0.012135730719894579,-0.0,0.0,0.039711330001756195,-0.012135730719894579,0.0,0.0,-0.0003264281671643322,0.0003396202282774644,76.99255613559617,42.926745238525456,0.0,8.542218152767834,0.0,8.542218152767834
